Loading news classifier ...
Now testing Naive Bayes: TFIDF
Total:648| True Positive:188| True Negative:168| False Positive:166| False Negative:126
Total:648| True Positive:192| True Negative:166| False Positive:155| False Negative:135
Total:648| True Positive:235| True Negative:114| False Positive:227| False Negative:72
Total:648| True Positive:190| True Negative:160| False Positive:164| False Negative:134
Total:648| True Positive:194| True Negative:175| False Positive:159| False Negative:120
Total:648| True Positive:203| True Negative:172| False Positive:140| False Negative:133
Total:648| True Positive:192| True Negative:160| False Positive:162| False Negative:134
Total:648| True Positive:196| True Negative:155| False Positive:163| False Negative:134
Total:648| True Positive:195| True Negative:174| False Positive:138| False Negative:141
Total:648| True Positive:211| True Negative:146| False Positive:160| False Negative:131
Total:648| True Positive:170| True Negative:173| False Positive:147| False Negative:158
Total:648| True Positive:222| True Negative:138| False Positive:184| False Negative:104
Total:648| True Positive:173| True Negative:170| False Positive:180| False Negative:125
Total:648| True Positive:188| True Negative:152| False Positive:171| False Negative:137
Total:648| True Positive:201| True Negative:172| False Positive:153| False Negative:122
Total:648| True Positive:190| True Negative:173| False Positive:149| False Negative:136
Total:648| True Positive:228| True Negative:136| False Positive:182| False Negative:102
Total:648| True Positive:224| True Negative:126| False Positive:192| False Negative:106
Total:648| True Positive:182| True Negative:166| False Positive:155| False Negative:145
Total:648| True Positive:185| True Negative:163| False Positive:149| False Negative:151
Total:648| True Positive:229| True Negative:120| False Positive:227| False Negative:72
Total:648| True Positive:198| True Negative:158| False Positive:168| False Negative:124
Total:648| True Positive:190| True Negative:164| False Positive:149| False Negative:145
Total:648| True Positive:182| True Negative:164| False Positive:153| False Negative:149
Total:648| True Positive:192| True Negative:163| False Positive:155| False Negative:138

--------------------------------------
Logistic Regression: TFIDF
Mean: 0.828704855273
Median: 0.828704855273
Max: 0.851908396947
Min: 0.791666666667
T-tests:
    P-val (Naive Bayes: Word2Vec): 2.53753563917e-54
    P-val (Logistic Regression: Word2Vec): 1.5329304933e-49
    P-val (Random Forest: TFIDF): 0.146074664688
    P-val (Naive Bayes: TFIDF): 0.000140999655029
    P-val (Random Forest: Word2Vec): 5.42083023689e-50
--------------------------------------

--------------------------------------
Naive Bayes: Word2Vec
Mean: 0.570772362639
Median: 0.570772362639
Max: 0.605042016807
Min: 0.531881804044
T-tests:
    P-val (Logistic Regression: Word2Vec): 0.375082740419
    P-val (Random Forest: TFIDF): 2.18324441307e-54
    P-val (Naive Bayes: TFIDF): 1.49416051637e-53
    P-val (Random Forest: Word2Vec): 0.0609966695387
    P-val (Logistic Regression: TFIDF): 2.53753563917e-54
--------------------------------------

--------------------------------------
Logistic Regression: Word2Vec
Mean: 0.575529007625
Median: 0.575529007625
Max: 0.616216216216
Min: 0.527131782946
T-tests:
    P-val (Naive Bayes: Word2Vec): 0.375082740419
    P-val (Random Forest: TFIDF): 2.04216596503e-49
    P-val (Naive Bayes: TFIDF): 1.57682746483e-48
    P-val (Random Forest: Word2Vec): 0.387766126847
    P-val (Logistic Regression: TFIDF): 1.5329304933e-49
--------------------------------------

--------------------------------------
Random Forest: TFIDF
Mean: 0.823186099428
Median: 0.823186099428
Max: 0.849612403101
Min: 0.794019933555
T-tests:
    P-val (Naive Bayes: Word2Vec): 2.18324441307e-54
    P-val (Logistic Regression: Word2Vec): 2.04216596503e-49
    P-val (Naive Bayes: TFIDF): 0.00965494753977
    P-val (Random Forest: Word2Vec): 6.85161526862e-50
    P-val (Logistic Regression: TFIDF): 0.146074664688
--------------------------------------

--------------------------------------
Naive Bayes: TFIDF
Mean: 0.813533561031
Median: 0.813533561031
Max: 0.842923794712
Min: 0.791111111111
T-tests:
    P-val (Naive Bayes: Word2Vec): 1.49416051637e-53
    P-val (Logistic Regression: Word2Vec): 1.57682746483e-48
    P-val (Random Forest: TFIDF): 0.00965494753977
    P-val (Random Forest: Word2Vec): 5.4645497922e-49
    P-val (Logistic Regression: TFIDF): 0.000140999655029
--------------------------------------

--------------------------------------
Random Forest: Word2Vec
Mean: 0.580596493114
Median: 0.580596493114
Max: 0.622162883845
Min: 0.537404580153
T-tests:
    P-val (Naive Bayes: Word2Vec): 0.0609966695387
    P-val (Logistic Regression: Word2Vec): 0.387766126847
    P-val (Random Forest: TFIDF): 6.85161526862e-50
    P-val (Naive Bayes: TFIDF): 5.4645497922e-49
    P-val (Logistic Regression: TFIDF): 5.42083023689e-50
--------------------------------------
Done! Models evaluated in 7 minutes
